k,cluster,bill_length,bill_depth,flipper_length,body_mass
1,1,38.9,18.8,190,3600
1,1,35.7,18,202,3550
1,1,41.1,18.1,205,4300
1,1,34,17.1,185,3400
1,1,39.6,18.1,186,4450
1,1,36.2,17.3,187,3300
1,1,40.8,18.9,208,4300
1,1,38.1,18.6,190,3700
1,1,40.3,18.5,196,4350
1,1,33.1,16.1,178,2900
1,1,43.2,18.5,192,4100
1,1,35,17.9,192,3725
1,1,41,20,203,4725
1,1,37.7,16,183,3075
1,1,37.8,20,190,4250
1,1,37.9,18.6,193,2925
1,1,39.7,18.9,184,3550
1,1,38.6,17.2,199,3750
1,1,38.2,20,190,3900
1,1,38.1,17,181,3175
1,1,43.2,19,197,4775
1,1,38.1,16.5,198,3825
1,1,45.6,20.3,191,4600
1,1,39.7,17.7,193,3200
1,1,42.2,19.5,197,4275
1,1,39.6,20.7,191,3900
1,1,42.7,18.3,196,4075
1,1,38.6,17,188,2900
1,1,37.3,20.5,199,3775
1,1,35.7,17,189,3350
1,1,41.1,18.6,189,3325
1,1,36.2,17.2,187,3150
1,1,37.7,19.8,198,3500
1,1,40.2,17,176,3450
1,1,41.4,18.5,202,3875
1,1,35.2,15.9,186,3050
1,1,40.6,19,199,4000
1,1,38.8,17.6,191,3275
1,1,41.5,18.3,195,4300
1,1,39,17.1,191,3050
1,1,44.1,18,210,4000
1,1,38.5,17.9,190,3325
1,1,43.1,19.2,197,3500
1,1,36.8,18.5,193,3500
1,1,37.5,18.5,199,4475
1,1,38.1,17.6,187,3425
1,1,41.1,17.5,190,3900
1,1,35.6,17.5,191,3175
1,1,40.2,20.1,200,3975
1,1,37,16.5,185,3400
1,1,39.7,17.9,193,4250
1,1,40.2,17.1,193,3400
1,1,40.6,17.2,187,3475
1,1,32.1,15.5,188,3050
1,1,40.7,17,190,3725
1,1,37.3,16.8,192,3000
1,1,39,18.7,185,3650
1,1,39.2,18.6,190,4250
1,1,36.6,18.4,184,3475
1,1,36,17.8,195,3450
1,1,37.8,18.1,193,3750
1,1,36,17.1,187,3700
1,1,41.5,18.5,201,4000
1,1,46.1,13.2,211,4500
1,1,50,16.3,230,5700
1,1,48.7,14.1,210,4450
1,1,50,15.2,218,5700
1,1,47.6,14.5,215,5400
1,1,46.5,13.5,210,4550
1,1,45.4,14.6,211,4800
1,1,46.7,15.3,219,5200
1,1,43.3,13.4,209,4400
1,1,46.8,15.4,215,5150
1,1,40.9,13.7,214,4650
1,1,49,16.1,216,5550
1,1,45.5,13.7,214,4650
1,1,48.4,14.6,213,5850
1,1,45.8,14.6,210,4200
1,1,49.3,15.7,217,5850
1,1,42,13.5,210,4150
1,1,49.2,15.2,221,6300
1,1,46.2,14.5,209,4800
1,1,48.7,15.1,222,5350
1,1,50.2,14.3,218,5700
1,1,45.1,14.5,215,5000
1,1,46.5,14.5,213,4400
1,1,46.3,15.8,215,5050
1,1,42.9,13.1,215,5000
1,1,46.1,15.1,215,5100
1,1,44.5,14.3,216,4100
1,1,47.8,15,215,5650
1,1,48.2,14.3,210,4600
1,1,50,15.3,220,5550
1,1,47.3,15.3,222,5250
1,1,42.8,14.2,209,4700
1,1,45.1,14.5,207,5050
1,1,59.6,17,230,6050
1,1,49.1,14.8,220,5150
1,1,48.4,16.3,220,5400
1,1,42.6,13.7,213,4950
1,1,44.4,17.3,219,5250
1,1,44,13.6,208,4350
1,1,48.7,15.7,208,5350
1,1,42.7,13.7,208,3950
1,1,49.6,16,225,5700
1,1,45.3,13.7,210,4300
1,1,49.6,15,216,4750
1,1,50.5,15.9,222,5550
1,1,43.6,13.9,217,4900
1,1,45.5,13.9,210,4200
1,1,50.5,15.9,225,5400
1,1,44.9,13.3,213,5100
1,1,45.2,15.8,215,5300
1,1,46.6,14.2,210,4850
1,1,48.5,14.1,220,5300
1,1,45.1,14.4,210,4400
1,1,50.1,15,225,5000
1,1,46.5,14.4,217,4900
1,1,45,15.4,220,5050
1,1,43.8,13.9,208,4300
1,1,45.5,15,220,5000
1,1,43.2,14.5,208,4450
1,1,50.4,15.3,224,5550
1,1,45.3,13.8,208,4200
1,1,46.2,14.9,221,5300
1,1,45.7,13.9,214,4400
1,1,54.3,15.7,231,5650
1,1,45.8,14.2,219,4700
1,1,49.8,16.8,230,5700
1,1,46.2,14.4,214,4650
1,1,49.5,16.2,229,5800
1,1,43.5,14.2,220,4700
1,1,50.7,15,223,5550
1,1,47.7,15,216,4750
1,1,46.4,15.6,221,5000
1,1,48.2,15.6,221,5100
1,1,46.5,14.8,217,5200
1,1,46.4,15,216,4700
1,1,48.6,16,230,5800
1,1,47.5,14.2,209,4600
1,1,51.1,16.3,220,6000
1,1,45.2,13.8,215,4750
1,1,45.2,16.4,223,5950
1,1,49.1,14.5,212,4625
1,1,52.5,15.6,221,5450
1,1,47.4,14.6,212,4725
1,1,50,15.9,224,5350
1,1,44.9,13.8,212,4750
1,1,50.8,17.3,228,5600
1,1,43.4,14.4,218,4600
1,1,51.3,14.2,218,5300
1,1,47.5,14,212,4875
1,1,52.1,17,230,5550
1,1,47.5,15,218,4950
1,1,52.2,17.1,228,5400
1,1,45.5,14.5,212,4750
1,1,49.5,16.1,224,5650
1,1,44.5,14.7,214,4850
1,1,50.8,15.7,226,5200
1,1,49.4,15.8,216,4925
1,1,46.9,14.6,222,4875
1,1,48.4,14.4,203,4625
1,1,51.1,16.5,225,5250
1,1,48.5,15,219,4850
1,1,55.9,17,228,5600
1,1,47.2,15.5,215,4975
1,1,49.1,15,228,5500
1,1,47.3,13.8,216,4725
1,1,46.8,16.1,215,5500
1,1,41.7,14.7,210,4700
1,1,53.4,15.8,219,5500
1,1,43.3,14,208,4575
1,1,48.1,15.1,209,5500
1,1,50.5,15.2,216,5000
1,1,49.8,15.9,229,5950
1,1,43.5,15.2,213,4650
1,1,51.5,16.3,230,5500
1,1,46.2,14.1,217,4375
1,1,55.1,16,230,5850
1,1,44.5,15.7,217,4875
1,1,48.8,16.2,222,6000
1,1,47.2,13.7,214,4925
1,1,46.8,14.3,215,4850
1,1,50.4,15.7,222,5750
1,1,45.2,14.8,212,5200
1,1,49.9,16.1,213,5400
1,1,46.5,17.9,192,3500
1,1,50,19.5,196,3900
1,1,51.3,19.2,193,3650
1,1,45.4,18.7,188,3525
1,1,52.7,19.8,197,3725
1,1,45.2,17.8,198,3950
1,1,46.1,18.2,178,3250
1,1,51.3,18.2,197,3750
1,1,46,18.9,195,4150
1,1,51.3,19.9,198,3700
1,1,46.6,17.8,193,3800
1,1,51.7,20.3,194,3775
1,1,47,17.3,185,3700
1,1,52,18.1,201,4050
1,1,45.9,17.1,190,3575
1,1,50.5,19.6,201,4050
1,1,50.3,20,197,3300
1,1,58,17.8,181,3700
1,1,46.4,18.6,190,3450
1,1,49.2,18.2,195,4400
1,1,42.4,17.3,181,3600
1,1,48.5,17.5,191,3400
1,1,43.2,16.6,187,2900
1,1,50.6,19.4,193,3800
1,1,46.7,17.9,195,3300
1,1,52,19,197,4150
1,1,50.5,18.4,200,3400
1,1,49.5,19,200,3800
1,1,46.4,17.8,191,3700
1,1,52.8,20,205,4550
1,1,40.9,16.6,187,3200
1,1,54.2,20.8,201,4300
1,1,42.5,16.7,187,3350
1,1,51,18.8,203,4100
1,1,49.7,18.6,195,3600
1,1,47.5,16.8,199,3900
1,1,47.6,18.3,195,3850
1,1,52,20.7,210,4800
1,1,46.9,16.6,192,2700
1,1,53.5,19.9,205,4500
1,1,49,19.5,210,3950
1,1,46.2,17.5,187,3650
1,1,50.9,19.1,196,3550
1,1,45.5,17,196,3500
1,1,50.9,17.9,196,3675
1,1,50.8,18.5,201,4450
1,1,50.1,17.9,190,3400
1,1,49,19.6,212,4300
1,1,51.5,18.7,187,3250
1,1,49.8,17.3,198,3675
1,1,48.1,16.4,199,3325
1,1,51.4,19,201,3950
1,1,45.7,17.3,193,3600
1,1,50.7,19.7,203,4050
1,1,42.5,17.3,187,3350
1,1,52.2,18.8,197,3450
1,1,45.2,16.6,191,3250
1,1,49.3,19.9,203,4050
1,1,50.2,18.8,202,3800
1,1,45.6,19.4,194,3525
1,1,51.9,19.5,206,3950
1,1,46.8,16.5,189,3650
1,1,45.7,17,195,3650
1,1,55.8,19.8,207,4000
1,1,43.5,18.1,202,3400
1,1,49.6,18.2,193,3775
1,1,50.8,19,210,4100
1,1,50.2,18.7,198,3775
2,1,39.1,18.7,181,3750
2,1,39.5,17.4,186,3800
2,1,40.3,18,195,3250
2,1,36.7,19.3,193,3450
2,1,39.3,20.6,190,3650
2,1,38.9,17.8,181,3625
2,2,39.2,19.6,195,4675
2,1,34.1,18.1,193,3475
2,1,42,20.2,190,4250
2,1,37.8,17.1,186,3300
2,1,37.8,17.3,180,3700
2,1,41.1,17.6,182,3200
2,1,38.6,21.2,191,3800
2,2,34.6,21.1,198,4400
2,1,36.6,17.8,185,3700
2,1,38.7,19,195,3450
2,2,42.5,20.7,197,4500
2,1,34.4,18.4,184,3325
2,1,46,21.5,194,4200
2,1,37.8,18.3,174,3400
2,1,37.7,18.7,180,3600
2,1,35.9,19.2,189,3800
2,1,38.2,18.1,185,3950
2,1,38.8,17.2,180,3800
2,1,35.3,18.9,187,3800
2,1,40.6,18.6,183,3550
2,1,40.5,17.9,187,3200
2,1,37.9,18.6,172,3150
2,1,40.5,18.9,180,3950
2,1,39.5,16.7,178,3250
2,1,37.2,18.1,178,3900
2,1,39.5,17.8,188,3300
2,1,40.9,18.9,184,3900
2,1,36.4,17,195,3325
2,1,39.2,21.1,196,4150
2,1,38.8,20,190,3950
2,1,42.2,18.5,180,3550
2,1,37.6,19.3,181,3300
2,2,39.8,19.1,184,4650
2,1,36.5,18,182,3150
2,1,40.8,18.4,195,3900
2,1,36,18.5,186,3100
2,2,44.1,19.7,196,4400
2,1,37,16.9,185,3000
2,2,39.6,18.8,190,4600
2,1,41.1,19,182,3425
2,1,37.5,18.9,179,2975
2,1,36,17.9,190,3450
2,1,42.3,21.2,191,4150
2,1,39.6,17.7,186,3500
2,1,40.1,18.9,188,4300
2,1,35,17.9,190,3450
2,1,42,19.5,200,4050
2,1,34.5,18.1,187,2900
2,1,41.4,18.6,191,3700
2,1,39,17.5,186,3550
2,1,40.6,18.8,193,3800
2,1,36.5,16.6,181,2850
2,1,37.6,19.1,194,3750
2,1,35.7,16.9,185,3150
2,2,41.3,21.1,195,4400
2,1,37.6,17,185,3600
2,1,41.1,18.2,192,4050
2,1,36.4,17.1,184,2850
2,1,41.6,18,192,3950
2,1,35.5,16.2,195,3350
2,1,41.1,19.1,188,4100
2,1,35.9,16.6,190,3050
2,2,41.8,19.4,198,4450
2,1,33.5,19,190,3600
2,1,39.7,18.4,190,3900
2,1,39.6,17.2,196,3550
2,1,45.8,18.9,197,4150
2,1,35.5,17.5,190,3700
2,1,42.8,18.5,195,4250
2,1,40.9,16.8,191,3700
2,1,37.2,19.4,184,3900
2,1,36.2,16.1,187,3550
2,1,42.1,19.1,195,4000
2,1,34.6,17.2,189,3200
2,2,42.9,17.6,196,4700
2,1,36.7,18.8,187,3800
2,1,35.1,19.4,193,4200
2,1,37.3,17.8,191,3350
2,1,41.3,20.3,194,3550
2,1,36.3,19.5,190,3800
2,1,36.9,18.6,189,3500
2,1,38.3,19.2,189,3950
2,1,38.9,18.8,190,3600
2,1,35.7,18,202,3550
2,1,41.1,18.1,205,4300
2,1,34,17.1,185,3400
2,2,39.6,18.1,186,4450
2,1,36.2,17.3,187,3300
2,1,40.8,18.9,208,4300
2,1,38.1,18.6,190,3700
2,1,40.3,18.5,196,4350
2,1,33.1,16.1,178,2900
2,1,43.2,18.5,192,4100
2,1,35,17.9,192,3725
2,2,41,20,203,4725
2,1,37.7,16,183,3075
2,1,37.8,20,190,4250
2,1,37.9,18.6,193,2925
2,1,39.7,18.9,184,3550
2,1,38.6,17.2,199,3750
2,1,38.2,20,190,3900
2,1,38.1,17,181,3175
2,2,43.2,19,197,4775
2,1,38.1,16.5,198,3825
2,2,45.6,20.3,191,4600
2,1,39.7,17.7,193,3200
2,1,42.2,19.5,197,4275
2,1,39.6,20.7,191,3900
2,1,42.7,18.3,196,4075
2,1,38.6,17,188,2900
2,1,37.3,20.5,199,3775
2,1,35.7,17,189,3350
2,1,41.1,18.6,189,3325
2,1,36.2,17.2,187,3150
2,1,37.7,19.8,198,3500
2,1,40.2,17,176,3450
2,1,41.4,18.5,202,3875
2,1,35.2,15.9,186,3050
2,1,40.6,19,199,4000
2,1,38.8,17.6,191,3275
2,1,41.5,18.3,195,4300
2,1,39,17.1,191,3050
2,1,44.1,18,210,4000
2,1,38.5,17.9,190,3325
2,1,43.1,19.2,197,3500
2,1,36.8,18.5,193,3500
2,2,37.5,18.5,199,4475
2,1,38.1,17.6,187,3425
2,1,41.1,17.5,190,3900
2,1,35.6,17.5,191,3175
2,1,40.2,20.1,200,3975
2,1,37,16.5,185,3400
2,1,39.7,17.9,193,4250
2,1,40.2,17.1,193,3400
2,1,40.6,17.2,187,3475
2,1,32.1,15.5,188,3050
2,1,40.7,17,190,3725
2,1,37.3,16.8,192,3000
2,1,39,18.7,185,3650
2,1,39.2,18.6,190,4250
2,1,36.6,18.4,184,3475
2,1,36,17.8,195,3450
2,1,37.8,18.1,193,3750
2,1,36,17.1,187,3700
2,1,41.5,18.5,201,4000
2,2,46.1,13.2,211,4500
2,2,50,16.3,230,5700
2,2,48.7,14.1,210,4450
2,2,50,15.2,218,5700
2,2,47.6,14.5,215,5400
2,2,46.5,13.5,210,4550
2,2,45.4,14.6,211,4800
2,2,46.7,15.3,219,5200
2,2,43.3,13.4,209,4400
2,2,46.8,15.4,215,5150
2,2,40.9,13.7,214,4650
2,2,49,16.1,216,5550
2,2,45.5,13.7,214,4650
2,2,48.4,14.6,213,5850
2,1,45.8,14.6,210,4200
2,2,49.3,15.7,217,5850
2,1,42,13.5,210,4150
2,2,49.2,15.2,221,6300
2,2,46.2,14.5,209,4800
2,2,48.7,15.1,222,5350
2,2,50.2,14.3,218,5700
2,2,45.1,14.5,215,5000
2,2,46.5,14.5,213,4400
2,2,46.3,15.8,215,5050
2,2,42.9,13.1,215,5000
2,2,46.1,15.1,215,5100
2,1,44.5,14.3,216,4100
2,2,47.8,15,215,5650
2,2,48.2,14.3,210,4600
2,2,50,15.3,220,5550
2,2,47.3,15.3,222,5250
2,2,42.8,14.2,209,4700
2,2,45.1,14.5,207,5050
2,2,59.6,17,230,6050
2,2,49.1,14.8,220,5150
2,2,48.4,16.3,220,5400
2,2,42.6,13.7,213,4950
2,2,44.4,17.3,219,5250
2,1,44,13.6,208,4350
2,2,48.7,15.7,208,5350
2,1,42.7,13.7,208,3950
2,2,49.6,16,225,5700
2,1,45.3,13.7,210,4300
2,2,49.6,15,216,4750
2,2,50.5,15.9,222,5550
2,2,43.6,13.9,217,4900
2,1,45.5,13.9,210,4200
2,2,50.5,15.9,225,5400
2,2,44.9,13.3,213,5100
2,2,45.2,15.8,215,5300
2,2,46.6,14.2,210,4850
2,2,48.5,14.1,220,5300
2,2,45.1,14.4,210,4400
2,2,50.1,15,225,5000
2,2,46.5,14.4,217,4900
2,2,45,15.4,220,5050
2,1,43.8,13.9,208,4300
2,2,45.5,15,220,5000
2,2,43.2,14.5,208,4450
2,2,50.4,15.3,224,5550
2,1,45.3,13.8,208,4200
2,2,46.2,14.9,221,5300
2,2,45.7,13.9,214,4400
2,2,54.3,15.7,231,5650
2,2,45.8,14.2,219,4700
2,2,49.8,16.8,230,5700
2,2,46.2,14.4,214,4650
2,2,49.5,16.2,229,5800
2,2,43.5,14.2,220,4700
2,2,50.7,15,223,5550
2,2,47.7,15,216,4750
2,2,46.4,15.6,221,5000
2,2,48.2,15.6,221,5100
2,2,46.5,14.8,217,5200
2,2,46.4,15,216,4700
2,2,48.6,16,230,5800
2,2,47.5,14.2,209,4600
2,2,51.1,16.3,220,6000
2,2,45.2,13.8,215,4750
2,2,45.2,16.4,223,5950
2,2,49.1,14.5,212,4625
2,2,52.5,15.6,221,5450
2,2,47.4,14.6,212,4725
2,2,50,15.9,224,5350
2,2,44.9,13.8,212,4750
2,2,50.8,17.3,228,5600
2,2,43.4,14.4,218,4600
2,2,51.3,14.2,218,5300
2,2,47.5,14,212,4875
2,2,52.1,17,230,5550
2,2,47.5,15,218,4950
2,2,52.2,17.1,228,5400
2,2,45.5,14.5,212,4750
2,2,49.5,16.1,224,5650
2,2,44.5,14.7,214,4850
2,2,50.8,15.7,226,5200
2,2,49.4,15.8,216,4925
2,2,46.9,14.6,222,4875
2,2,48.4,14.4,203,4625
2,2,51.1,16.5,225,5250
2,2,48.5,15,219,4850
2,2,55.9,17,228,5600
2,2,47.2,15.5,215,4975
2,2,49.1,15,228,5500
2,2,47.3,13.8,216,4725
2,2,46.8,16.1,215,5500
2,2,41.7,14.7,210,4700
2,2,53.4,15.8,219,5500
2,2,43.3,14,208,4575
2,2,48.1,15.1,209,5500
2,2,50.5,15.2,216,5000
2,2,49.8,15.9,229,5950
2,2,43.5,15.2,213,4650
2,2,51.5,16.3,230,5500
2,2,46.2,14.1,217,4375
2,2,55.1,16,230,5850
2,2,44.5,15.7,217,4875
2,2,48.8,16.2,222,6000
2,2,47.2,13.7,214,4925
2,2,46.8,14.3,215,4850
2,2,50.4,15.7,222,5750
2,2,45.2,14.8,212,5200
2,2,49.9,16.1,213,5400
2,1,46.5,17.9,192,3500
2,1,50,19.5,196,3900
2,1,51.3,19.2,193,3650
2,1,45.4,18.7,188,3525
2,1,52.7,19.8,197,3725
2,1,45.2,17.8,198,3950
2,1,46.1,18.2,178,3250
2,1,51.3,18.2,197,3750
2,1,46,18.9,195,4150
2,1,51.3,19.9,198,3700
2,1,46.6,17.8,193,3800
2,1,51.7,20.3,194,3775
2,1,47,17.3,185,3700
2,1,52,18.1,201,4050
2,1,45.9,17.1,190,3575
2,1,50.5,19.6,201,4050
2,1,50.3,20,197,3300
2,1,58,17.8,181,3700
2,1,46.4,18.6,190,3450
2,2,49.2,18.2,195,4400
2,1,42.4,17.3,181,3600
2,1,48.5,17.5,191,3400
2,1,43.2,16.6,187,2900
2,1,50.6,19.4,193,3800
2,1,46.7,17.9,195,3300
2,1,52,19,197,4150
2,1,50.5,18.4,200,3400
2,1,49.5,19,200,3800
2,1,46.4,17.8,191,3700
2,2,52.8,20,205,4550
2,1,40.9,16.6,187,3200
2,1,54.2,20.8,201,4300
2,1,42.5,16.7,187,3350
2,1,51,18.8,203,4100
2,1,49.7,18.6,195,3600
2,1,47.5,16.8,199,3900
2,1,47.6,18.3,195,3850
2,2,52,20.7,210,4800
2,1,46.9,16.6,192,2700
2,2,53.5,19.9,205,4500
2,1,49,19.5,210,3950
2,1,46.2,17.5,187,3650
2,1,50.9,19.1,196,3550
2,1,45.5,17,196,3500
2,1,50.9,17.9,196,3675
2,2,50.8,18.5,201,4450
2,1,50.1,17.9,190,3400
2,1,49,19.6,212,4300
2,1,51.5,18.7,187,3250
2,1,49.8,17.3,198,3675
2,1,48.1,16.4,199,3325
2,1,51.4,19,201,3950
2,1,45.7,17.3,193,3600
2,1,50.7,19.7,203,4050
2,1,42.5,17.3,187,3350
2,1,52.2,18.8,197,3450
2,1,45.2,16.6,191,3250
2,1,49.3,19.9,203,4050
2,1,50.2,18.8,202,3800
2,1,45.6,19.4,194,3525
2,1,51.9,19.5,206,3950
2,1,46.8,16.5,189,3650
2,1,45.7,17,195,3650
2,1,55.8,19.8,207,4000
2,1,43.5,18.1,202,3400
2,1,49.6,18.2,193,3775
2,1,50.8,19,210,4100
2,1,50.2,18.7,198,3775
3,2,39.1,18.7,181,3750
3,2,39.5,17.4,186,3800
3,2,40.3,18,195,3250
3,2,36.7,19.3,193,3450
3,2,39.3,20.6,190,3650
3,2,38.9,17.8,181,3625
3,3,39.2,19.6,195,4675
3,2,34.1,18.1,193,3475
3,3,42,20.2,190,4250
3,2,37.8,17.1,186,3300
3,2,37.8,17.3,180,3700
3,2,41.1,17.6,182,3200
3,2,38.6,21.2,191,3800
3,3,34.6,21.1,198,4400
3,2,36.6,17.8,185,3700
3,2,38.7,19,195,3450
3,3,42.5,20.7,197,4500
3,2,34.4,18.4,184,3325
3,3,46,21.5,194,4200
3,2,37.8,18.3,174,3400
3,2,37.7,18.7,180,3600
3,2,35.9,19.2,189,3800
3,3,38.2,18.1,185,3950
3,2,38.8,17.2,180,3800
3,2,35.3,18.9,187,3800
3,2,40.6,18.6,183,3550
3,2,40.5,17.9,187,3200
3,2,37.9,18.6,172,3150
3,3,40.5,18.9,180,3950
3,2,39.5,16.7,178,3250
3,3,37.2,18.1,178,3900
3,2,39.5,17.8,188,3300
3,3,40.9,18.9,184,3900
3,2,36.4,17,195,3325
3,3,39.2,21.1,196,4150
3,3,38.8,20,190,3950
3,2,42.2,18.5,180,3550
3,2,37.6,19.3,181,3300
3,3,39.8,19.1,184,4650
3,2,36.5,18,182,3150
3,3,40.8,18.4,195,3900
3,2,36,18.5,186,3100
3,3,44.1,19.7,196,4400
3,2,37,16.9,185,3000
3,3,39.6,18.8,190,4600
3,2,41.1,19,182,3425
3,2,37.5,18.9,179,2975
3,2,36,17.9,190,3450
3,3,42.3,21.2,191,4150
3,2,39.6,17.7,186,3500
3,3,40.1,18.9,188,4300
3,2,35,17.9,190,3450
3,3,42,19.5,200,4050
3,2,34.5,18.1,187,2900
3,2,41.4,18.6,191,3700
3,2,39,17.5,186,3550
3,2,40.6,18.8,193,3800
3,2,36.5,16.6,181,2850
3,2,37.6,19.1,194,3750
3,2,35.7,16.9,185,3150
3,3,41.3,21.1,195,4400
3,2,37.6,17,185,3600
3,3,41.1,18.2,192,4050
3,2,36.4,17.1,184,2850
3,3,41.6,18,192,3950
3,2,35.5,16.2,195,3350
3,3,41.1,19.1,188,4100
3,2,35.9,16.6,190,3050
3,3,41.8,19.4,198,4450
3,2,33.5,19,190,3600
3,3,39.7,18.4,190,3900
3,2,39.6,17.2,196,3550
3,3,45.8,18.9,197,4150
3,2,35.5,17.5,190,3700
3,3,42.8,18.5,195,4250
3,2,40.9,16.8,191,3700
3,3,37.2,19.4,184,3900
3,2,36.2,16.1,187,3550
3,3,42.1,19.1,195,4000
3,2,34.6,17.2,189,3200
3,3,42.9,17.6,196,4700
3,2,36.7,18.8,187,3800
3,3,35.1,19.4,193,4200
3,2,37.3,17.8,191,3350
3,2,41.3,20.3,194,3550
3,2,36.3,19.5,190,3800
3,2,36.9,18.6,189,3500
3,3,38.3,19.2,189,3950
3,2,38.9,18.8,190,3600
3,2,35.7,18,202,3550
3,3,41.1,18.1,205,4300
3,2,34,17.1,185,3400
3,3,39.6,18.1,186,4450
3,2,36.2,17.3,187,3300
3,3,40.8,18.9,208,4300
3,2,38.1,18.6,190,3700
3,3,40.3,18.5,196,4350
3,2,33.1,16.1,178,2900
3,3,43.2,18.5,192,4100
3,2,35,17.9,192,3725
3,3,41,20,203,4725
3,2,37.7,16,183,3075
3,3,37.8,20,190,4250
3,2,37.9,18.6,193,2925
3,2,39.7,18.9,184,3550
3,2,38.6,17.2,199,3750
3,3,38.2,20,190,3900
3,2,38.1,17,181,3175
3,3,43.2,19,197,4775
3,2,38.1,16.5,198,3825
3,3,45.6,20.3,191,4600
3,2,39.7,17.7,193,3200
3,3,42.2,19.5,197,4275
3,3,39.6,20.7,191,3900
3,3,42.7,18.3,196,4075
3,2,38.6,17,188,2900
3,2,37.3,20.5,199,3775
3,2,35.7,17,189,3350
3,2,41.1,18.6,189,3325
3,2,36.2,17.2,187,3150
3,2,37.7,19.8,198,3500
3,2,40.2,17,176,3450
3,2,41.4,18.5,202,3875
3,2,35.2,15.9,186,3050
3,3,40.6,19,199,4000
3,2,38.8,17.6,191,3275
3,3,41.5,18.3,195,4300
3,2,39,17.1,191,3050
3,3,44.1,18,210,4000
3,2,38.5,17.9,190,3325
3,2,43.1,19.2,197,3500
3,2,36.8,18.5,193,3500
3,3,37.5,18.5,199,4475
3,2,38.1,17.6,187,3425
3,3,41.1,17.5,190,3900
3,2,35.6,17.5,191,3175
3,3,40.2,20.1,200,3975
3,2,37,16.5,185,3400
3,3,39.7,17.9,193,4250
3,2,40.2,17.1,193,3400
3,2,40.6,17.2,187,3475
3,2,32.1,15.5,188,3050
3,2,40.7,17,190,3725
3,2,37.3,16.8,192,3000
3,2,39,18.7,185,3650
3,3,39.2,18.6,190,4250
3,2,36.6,18.4,184,3475
3,2,36,17.8,195,3450
3,2,37.8,18.1,193,3750
3,2,36,17.1,187,3700
3,3,41.5,18.5,201,4000
3,3,46.1,13.2,211,4500
3,1,50,16.3,230,5700
3,3,48.7,14.1,210,4450
3,1,50,15.2,218,5700
3,1,47.6,14.5,215,5400
3,3,46.5,13.5,210,4550
3,3,45.4,14.6,211,4800
3,1,46.7,15.3,219,5200
3,3,43.3,13.4,209,4400
